"country","GniPerCapitaAtlas_2022DY","GniPerCapitaPPPUS_2022DY","GniPerCapita_RecentYear2022DY"
"India",2390,8230,2022
"China",12850,21250,2022
"United States",76770,77950,2022
"Indonesia",4580,14250,2022
"Pakistan",1560,6260,2022
"Nigeria",2160,5700,2022
"Brazil",8140,17270,2022
"Bangladesh",2820,7690,2022
"Russia",12750,35540,2022
"Ethiopia",1020,2800,2022
"Mexico",10820,21790,2022
"Japan",42440,48480,2022
"Egypt",4100,14600,2022
"Philippines",3950,10730,2022
"DR Congo",610,1290,2022
"Vietnam",4010,12810,2022
"Iran",3980,18230,2022
"Germany",54030,65990,2022
"Thailand",7230,20070,2022
"United Kingdom",49240,55210,2022
"Tanzania",1200,3050,2022
"France",45290,56370,2022
"South Africa",6780,15590,2022
"Italy",38200,53280,2022
"Kenya",2170,5680,2022
"Myanmar",1270,4910,2022
"Colombia",6500,19470,2022
"South Korea",36190,51070,2022
"Sudan",760,4150,2022
"Uganda",930,2640,2022
"Spain",32090,46550,2022
"Algeria",3920,12950,2022
"Iraq",5270,10830,2022
"Argentina",11590,26030,2022
"Afghanistan",380,1680,2021
"Yemen",1000,3710,2013
"Canada",52960,57760,2022
"Poland",18900,42390,2022
"Morocco",3670,9410,2022
"Angola",1880,6450,2022
"Ukraine",4260,13350,2022
"Uzbekistan",2190,9640,2022
"Malaysia",11830,32410,2022
"Mozambique",440,1210,2022
"Ghana",2380,6400,2022
"Peru",6740,14010,2022
"Saudi Arabia",27680,59870,2022
"Madagascar",510,1730,2022
"Ivory Coast",2620,6340,2022
"Nepal",1340,4750,2022
"Cameroon",1640,4330,2022
"Venezuela",13010,16960,2011
"Niger",580,1380,2022
"Australia",60840,60830,2022
"Syria",560,,
"Mali",850,2420,2022
"Burkina Faso",850,2440,2022
"Sri Lanka",3610,14040,2022
"Malawi",640,1700,2022
"Zambia",1240,3980,2022
"Kazakhstan",9620,27330,2022
"Chad",690,1640,2022
"Chile",15360,28550,2022
"Romania",15570,40030,2022
"Somalia",600,1700,2022
"Senegal",1620,4060,2022
"Guatemala",5350,10600,2022
"Netherlands",60230,70210,2022
"Ecuador",6300,12620,2022
"Cambodia",1690,5070,2022
"Zimbabwe",1710,2550,2022
"Guinea",1190,2870,2022
"Benin",1400,4020,2022
"Rwanda",930,2730,2022
"Burundi",240,840,2022
"Bolivia",3490,9460,2022
"Tunisia",3830,12150,2022
"South Sudan",1040,1040,2015
"Haiti",1610,3310,2022
"Belgium",53890,66490,2022
"Jordan",4350,11090,2022
"Dominican Republic",9050,21920,2022
"United Arab Emirates",49160,88050,2022
"Cuba",8920,,
"Honduras",2750,6220,2022
"Czech Republic",26100,46890,2022
"Sweden",63500,67630,2022
"Tajikistan",1210,5680,2022
"Papua New Guinea",2700,4180,2022
"Portugal",25950,41290,2022
"Azerbaijan",5660,16630,2022
"Greece",21810,36690,2022
"Hungary",19010,40450,2022
"Togo",1010,2610,2022
"Israel",55140,49330,2022
"Austria",55720,67830,2022
"Belarus",7210,21710,2022
"Switzerland",95490,82940,2022
"Sierra Leone",600,2250,2022
"Laos",2310,8680,2022
"Turkmenistan",6970,15060,2019
"Hong Kong",54370,73960,2022
"Libya",7260,23600,2022
"Kyrgyzstan",1440,5670,2022
"Paraguay",5920,15540,2022
"Nicaragua",2090,6380,2022
"Bulgaria",13350,32740,2022
"Serbia",9290,22720,2022
"El Salvador",4720,10460,2022
"Republic of the Congo",2290,4050,2022
"Denmark",73520,77370,2022
"Singapore",67200,107070,2022
"Lebanon",4970,13400,2021
"Finland",54930,59970,2022
"Liberia",680,1470,2021
"Norway",95520,118470,2022
"Central African Republic",480,1030,2022
"Oman",20020,38640,2022
"Ireland",79730,91090,2022
"New Zealand",49090,50910,2022
"Mauritania",2080,6260,2022
"Costa Rica",12920,23370,2022
"Kuwait",40600,67200,2022
"Panama",16960,37540,2022
"Croatia",19600,40610,2022
"Georgia",5600,18760,2022
"Eritrea",610,1610,2011
"Mongolia",4260,12530,2022
"Uruguay",18000,26250,2022
"Puerto Rico",24560,27840,2022
"Bosnia and Herzegovina",7660,19840,2022
"Qatar",70120,110050,2022
"Moldova",5500,15780,2022
"Namibia",5010,11190,2022
"Armenia",5960,18140,2022
"Lithuania",23870,47120,2022
"Jamaica",5760,11700,2022
"Albania",6770,18260,2022
"Gambia",800,2460,2022
"Gabon",7530,14870,2022
"Botswana",7430,17800,2022
"Lesotho",1230,3190,2022
"Slovenia",29590,47370,2022
"Equatorial Guinea",5240,12790,2022
"Latvia",21850,39230,2022
"North Macedonia",6660,19430,2022
"Bahrain",27720,58540,2022
"Trinidad and Tobago",16190,26260,2022
"Estonia",27120,45200,2022
"Cyprus",31520,47470,2022
"Mauritius",10360,26450,2022
"Eswatini",3750,9830,2022
"Djibouti",3310,6010,2022
"Fiji",5390,13850,2022
"Comoros",1610,3850,2022
"Guyana",14920,38250,2022
"Solomon Islands",2210,2670,2022
"Bhutan",3290,12070,2021
"Luxembourg",89200,94720,2022
"Montenegro",10480,27570,2022
"Suriname",4970,16260,2022
"Malta",32860,50230,2022
"Maldives",10880,22840,2022
"Cape Verde",3950,8600,2022
"Brunei",31410,67760,2022
"Belize",6630,10670,2022
"Bahamas",31520,38820,2022
"Iceland",68660,65920,2022
"Vanuatu",3650,3780,2022
"New Caledonia",37370,,
"Barbados",19490,17480,2022
"French Polynesia",18560,,
"Sao Tome and Principe",2400,4110,2022
"Samoa",3660,5930,2022
"Curacao",18060,23410,2021
"Saint Lucia",12400,17050,2022
"Kiribati",2810,3870,2022
"Seychelles",12010,28350,2022
"Grenada",9070,15610,2022
"Micronesia",4140,4280,2022
"Aruba",33410,47060,2022
"Tonga",4930,7160,2021
"Saint Vincent and the Grenadines",9110,16820,2022
"Antigua and Barbuda",19050,25550,2022
"Isle of Man",79300,,
"Andorra",44350,,
"Cayman Islands",62000,52990,2021
"Dominica",8430,13500,2022
"Bermuda",125210,98640,2022
"Greenland",34800,,
"Faroe Islands",74420,,
"Saint Kitts and Nevis",20020,32620,2022
"Turks and Caicos Islands",25240,24410,2022
"Sint Maarten",35260,48360,2022
"Liechtenstein",116600,,
"Marshall Islands",7270,8130,2022
"San Marino",47120,61060,2021
"Palau",13420,16120,2021
"Nauru",17800,19630,2022
"Tuvalu",7160,7310,2022